level	kind	chapter_num	section	title	page_a_print	page_a_print_end	page_a_pdf	page_b	page_b_end
4	subheading	9	9.1	Terminal Tags Provide Handles for Affinity Purification	313	314	349	1191	1194
4	subheading	9	9.1	The Polymerase Chain Reaction Offers Many Options for Cloning Experiments	314	315	350	1195	1196
4	subheading	9	9.1	DNA Libraries Are Specialized Catalogs of Genetic Information	315	316	351	1197	1201
3	section	9	9.2	9.2 Exploring Protein Function on the Scale of Cells or Whole Organisms	317	326	353	1202	1236
4	subheading	9	9.2	Sequence or Structural Relationships Can Suggest Protein Function	317	318	353	1204	1206
4	subheading	9	9.2	When and Where a Protein Is Present in a Cell Can Suggest Protein Function	318	320	354	1207	1215
4	subheading	9	9.2	Knowing What a Protein Interacts with Can Suggest Its Function	320	322	356	1216	1222
4	subheading	9	9.2	The Effect of Deleting or Altering a Protein Can Suggest Its Function	322	324	358	1223	1230
4	subheading	9	9.2	Many Proteins Are Still Undiscovered	324	326	360	1231	1236
3	section	9	9.3	9.3 Genomics and the Human Story	326	334	362	1237	1266
4	subheading	9	9.3	The Human Genome Contains Many Types of Sequences	327	329	363	1238	1244
4	subheading	9	9.3	Genome Sequencing Informs Us about Our Humanity	329	330	365	1245	1252
4	subheading	9	9.3	Genome Comparisons Help Locate Genes Involved in Disease	331	332	367	1253	1258
4	subheading	9	9.3	Genome Sequences Inform Us about Our Past and Provide Opportunities for the Future	333	334	369	1259	1266
3	subheading	9	9.3	Chapter Review	334	339	370	1267	1283
4	subheading	9	9.3	Key Terms	334	334	370	1267	1267
4	subheading	9	9.3	Problems	335	339	371	1268	1283
2	chapter	10		Chapter 10 Lipids	339	366	375	1284	1366
3	section	10	10.1	10.1 Storage Lipids	340	346	376	1287	1298
4	subheading	10	10.1	Fatty Acids Are Hydrocarbon Derivatives	340	341	376	1287	1290
4	subheading	10	10.1	Triacylglycerols Are Fatty Acid Esters of Glycerol	343	343	379	1291	1292
4	subheading	10	10.1	Triacylglycerols Provide Stored Energy and Insulation	344	344	380	1293	1294
4	subheading	10	10.1	Partial Hydrogenation of Cooking Oils Improves Their Stability but Creates Fatty Acids with Harmful Health Effects	344	345	380	1295	1296
4	subheading	10	10.1	Waxes Serve as Energy Stores and Water Repellents	346	346	382	1297	1298
3	section	10	10.2	10.2 Structural Lipids in Membranes	346	353	382	1299	1321
4	subheading	10	10.2	Glycerophospholipids Are Derivatives of Phosphatidic Acid	347	348	383	1300	1302
4	subheading	10	10.2	Some Glycerophospholipids Have Ether-Linked Fatty Acids	348	348	384	1303	1304
4	subheading	10	10.2	Galactolipids of Plants and Ether-Linked Lipids of Archaea Are Environmental Adaptations	349	349	385	1305	1306
4	subheading	10	10.2	Sphingolipids Are Derivatives of Sphingosine	349	350	385	1307	1310
4	subheading	10	10.2	Sphingolipids at Cell Surfaces Are Sites of Biological Recognition	350	350	386	1311	1312
4	subheading	10	10.2	Phospholipids and Sphingolipids Are Degraded in Lysosomes	351	352	387	1313	1317
4	subheading	10	10.2	Sterols Have Four Fused Carbon Rings	352	353	388	1318	1321
3	section	10	10.3	10.3 Lipids as Signals, Cofactors, and Pigments	353	360	389	1322	1342
4	subheading	10	10.3	Phosphatidylinositols and Sphingosine Derivatives Act as Intracellular Signals	354	354	390	1323	1324
4	subheading	10	10.3	Eicosanoids Carry Messages to Nearby Cells	354	355	390	1325	1327
4	subheading	10	10.3	Steroid Hormones Carry Messages between Tissues	356	356	392	1328	1328
4	subheading	10	10.3	Vascular Plants Produce Thousands of Volatile Signals	356	356	392	1329	1329
4	subheading	10	10.3	Vitamins A and D Are Hormone Precursors	356	358	392	1330	1334
4	subheading	10	10.3	Vitamins E and K and the Lipid Quinones Are Oxidation-Reduction Cofactors	358	359	394	1335	1337
4	subheading	10	10.3	Dolichols Activate Sugar Precursors for Biosynthesis	359	359	395	1338	1338
